,anchor,positive,negative
0,1,3114,9
1,2,56,3
2,3,3774,6
3,4,539,8
4,5,3,2
5,6,7031,2
6,7,237,2
7,8,828,5
8,9,165,3
9,10,1722,3
10,11,1810,2
11,12,63,2
12,13,106240,4
13,14,62437,1
14,15,8167,5
15,16,1466,3
16,17,2020,1
17,18,5455,6
18,19,344,8
19,20,145,8
20,21,259,9
21,22,73511,2
22,23,1249,1
23,24,173145,5
24,25,5992,1
25,26,1411,2
26,27,1259,5
27,28,89678,5
28,29,7123,6
29,30,2610,1
30,31,8451,1
31,32,2009,1
32,33,5332,6
33,34,2384,5
34,35,49,1
35,36,5384,3
36,37,6289,2
37,38,6332,6
38,39,2485,8
39,40,4095,3
40,41,1930,3
41,42,8016,2
42,43,2336,2
43,44,546,5
44,45,3893,8
45,46,4,5
46,47,22,1
47,48,783,9
48,49,50183,2
49,50,52456,1
50,51,20,2
51,52,425,6
52,53,970,3
53,54,258,10
54,55,133281,3
55,56,258,6
56,57,4979,3
57,58,2569,8
58,59,903,5
59,60,661,5
60,61,7445,3
61,62,3496,1
62,63,520,8
63,64,295,6
64,65,747,2
65,66,127323,1
66,67,72113,2
67,68,550,6
68,69,1753,6
69,70,2867,13
70,71,1432,3
71,72,417,8
72,73,106441,3
73,74,140,5
74,75,56,2
75,76,5046,1
76,77,3625,4
77,78,55288,1
78,79,55391,1
79,80,7785,6
80,81,1245,2
81,82,8933,8
82,83,1458,2
83,84,96,6
84,85,17,2
85,86,102194,5
86,87,374,6
87,88,411,6
88,89,2058,3
89,90,2293,2
90,92,1655,5
91,93,27008,6
92,94,1484,6
93,95,434,5
94,96,84,2
95,97,25963,1
96,98,81132,1
97,99,206,1
98,100,1082,3
99,101,970,24
100,102,174,8
101,103,695,1
102,104,216,2
103,105,902,1
104,106,5525,2
105,107,3396,6
106,108,136,4
107,109,20,9
108,110,8977,1
109,111,1206,3
110,112,861,24
111,113,1621,1
112,114,1811,2
113,115,2156,8
114,116,2494,2
115,117,3579,1
116,118,52545,2
117,119,6521,2
118,120,53349,6
119,121,1397,2
120,122,543,6
121,123,1247,5
122,124,90,5
123,125,1632,6
124,126,3754,6
125,127,2503,2
126,128,769,1
127,129,236,8
128,130,4,2
129,131,222,5
130,132,1092,2
131,133,4,2
132,134,37,3
133,135,1588,6
134,136,108,5
135,137,685,2
136,138,444,1
137,139,20,1
138,140,74,2
139,141,171,2
140,142,4,3
141,143,4,2
142,144,7364,2
143,145,20,2
144,146,65088,3
145,147,778,3
146,148,827,1
147,149,293,3
148,150,1231,6
149,151,2728,1
150,152,253,3
151,153,592,17
152,154,4716,2
153,155,90620,6
154,156,847,2
155,157,1171,8
156,158,8713,5
157,159,6868,1
158,160,6959,5
159,161,6854,3
160,162,106889,2
161,163,4868,2
162,164,1252,3
163,165,1036,1
164,166,1529,8
165,167,90,5
166,168,74,5
167,169,1595,7
168,170,120637,3
169,171,3914,8
170,172,198,2
171,173,198,1
172,174,102,8
173,175,1186,1
174,176,3568,8
175,177,328,3
176,178,33649,6
177,179,35,5
178,180,223,6
179,181,1495,7
180,182,52668,5
181,183,4097,2
182,184,4036,2
183,185,120637,1
184,186,78264,8
185,187,6521,2
186,188,73929,4
187,189,101529,6
188,190,1149,1
189,191,613,2
190,192,108,4
191,193,6885,1
192,194,2504,6
193,195,5450,2
194,196,4982,3
195,197,3111,1
196,198,5445,2
197,199,105,2
198,200,171759,1
199,201,1302,3
200,202,5367,5
201,203,141,8
202,204,9,3
203,205,352,8
204,206,8130,2
205,207,74,2
206,208,6583,3
207,209,358,1
208,210,416,2
209,211,3296,3
210,212,56,9
211,213,116138,2
212,214,6982,1
213,215,1353,5
214,216,333,2
215,217,436,7
216,218,4474,8
217,219,4849,3
218,220,611,1
219,222,131,2
220,223,180,6
221,224,587,8
222,225,291,1
223,226,6,2
224,227,94405,2
225,228,21,2
226,229,5608,3
227,230,6473,3
228,231,785,6
229,232,32591,8
230,233,5028,2
231,234,559,2
232,235,194,6
233,236,42958,8
234,237,7,2
235,238,44399,4
236,239,1907,10
237,240,4109,1
238,241,2123,3
239,242,249,1
240,243,3157,6
241,244,745,6
242,245,62792,2
243,246,26366,2
244,247,103137,3
245,248,2795,2
246,249,549,2
247,250,6625,6
248,251,5244,1
249,252,295,6
250,253,152,2
251,254,8585,3
252,255,4149,2
253,256,186,2
254,257,350,2
255,258,56,6
256,259,960,2
257,260,113345,5
258,261,17,1
259,262,71745,6
260,263,3823,2
261,264,6530,2
262,265,587,6
263,266,1183,5
264,267,54,10
265,268,6860,1
266,269,41617,1
267,270,4564,5
268,271,113,2
269,272,2336,8
270,273,26849,3
271,274,1007,6
272,275,2339,8
273,276,87,8
274,277,1363,2
275,278,2417,2
276,279,1621,1
277,280,4586,1
278,281,2426,9
279,282,2506,2
280,283,159,3
281,284,6,2
282,285,2446,1
283,286,2986,1
284,287,807,8
285,288,37733,1
286,289,2171,8
287,290,493,1
288,291,3064,1
289,292,6395,2
290,293,8798,3
291,294,295,2
292,295,252,6
293,296,3893,8
294,297,290,1
295,298,2697,2
296,299,2397,3
297,300,3006,1
298,301,6713,5
299,302,1150,2
300,303,3681,3
301,304,450,2
302,305,518,2
303,306,307,1
304,307,3637,3
305,308,1273,8
306,309,2873,5
307,310,2036,6
308,311,992,2
309,312,4249,8
310,313,364,4
311,314,74488,6
312,315,89087,2
313,316,260,4
314,317,2086,6
315,318,111,3
316,319,109742,8
317,320,149,1
318,321,171,1
319,322,45,9
320,324,4375,6
321,325,45969,2
322,326,446,1
323,327,2450,2
324,328,3660,1
325,329,1375,6
326,330,7235,1
327,331,169166,2
328,332,426,6
329,333,216,6
330,334,806,2
331,335,4707,1
332,336,4290,5
333,337,281,3
334,338,1037,1
335,339,5620,6
336,340,3654,6
337,341,52,2
338,342,218,6
339,343,4700,5
340,344,19,6
341,345,1734,6
342,346,4588,2
343,347,630,1
344,348,4602,8
345,349,2058,3
346,350,454,1
347,351,1564,6
348,352,205,2
349,353,592,4
350,354,5644,3
351,355,3754,10
352,356,909,8
353,357,804,6
354,358,1054,2
355,359,3320,2
356,360,236,8
357,361,3536,8
358,362,1538,6
359,363,2493,2
360,364,1688,6
361,365,4313,1
362,366,1347,1
363,367,60074,14
364,368,2012,6
365,369,3174,3
366,370,2170,8
367,371,2243,2
368,372,59985,6
369,373,2579,1
370,374,87,6
371,375,95567,2
372,376,32029,3
373,377,20,5
374,378,236,8
375,379,198,2
376,380,2835,14
377,381,35,2
378,382,2793,2
379,383,553,1
380,384,1396,1
381,385,794,2
382,386,2504,5
383,387,20,8
384,388,831,2
385,389,970,2
386,390,4139,3
387,391,712,5
388,392,661,6
389,393,546,5
390,394,5968,8
391,395,224,6
392,396,4,3
393,397,4827,4
394,398,4824,2
395,399,4,2
396,400,4,1
397,401,6,2
398,402,6424,6
399,403,20,2
400,404,108,2
401,405,3439,4
402,406,614,1
403,407,27402,1
404,408,2585,3
405,409,706,2
406,410,1064,10
407,411,5513,6
408,412,97936,3
409,413,2482,6
410,414,89170,2
411,415,3,9
412,416,210,1
413,417,72,2
414,418,4667,2
415,419,355,6
416,420,4084,13
417,421,577,6
418,422,22,1
419,423,1488,2
420,424,27830,3
421,425,52,1
422,426,54771,2
423,427,7044,5
424,428,6797,2
425,429,4181,2
426,430,1268,6
427,431,1213,2
428,432,1064,6
429,433,69,8
430,434,95,4
431,435,1580,6
432,436,4256,3
433,437,248,2
434,438,1473,2
435,439,614,2
436,440,11,6
437,441,2772,6
438,442,208,5
439,443,3653,5
440,444,138,2
441,445,6584,8
442,446,4964,5
443,447,359,2
444,448,1237,3
445,449,6025,8
446,450,1812,8
447,451,427,1
448,452,979,1
449,453,236,8
450,454,350,1
451,455,577,5
452,456,2166,3
453,457,89,1
454,458,41831,3
455,459,3584,18
456,460,1453,9
457,461,33649,5
458,462,1867,7
459,463,628,3
460,464,2625,5
461,465,8045,3
462,466,5541,8
463,467,4870,2
464,468,361,6
465,469,191,5
466,470,2799,8
467,471,7367,6
468,472,1243,2
469,473,174,8
470,474,3256,1
471,475,6884,3
472,476,2155,6
473,477,26271,1
474,478,76210,2
