MovieId,Genres
83773,"comedy , drama"
83829,music
84768,"music , tv movie , documentary"
86493,drama
87061,"drama , fantasy"
91246,
92435,drama
92641,drama
94431,
94657,
95541,"drama , documentary"
95750,drama
96479,"drama , horror , mystery"
96651,documentary
113472,music
113545,
114335,fantasy
114587,"fantasy , comedy"
114723,"mystery , fantasy"
114725,documentary
114877,"documentary , war"
115004,
115006,drama
115419,documentary
115441,
115529,
115602,documentary
115893,"drama , romance"
116046,"family , drama"
116054,drama
116098,drama
116100,comedy
116126,drama
116237,western
116287,"crime , drama"
116347,"action , drama"
116425,drama
116479,"documentary , music"
116531,music
116704,action
116917,
116923,drama
116949,drama
116955,drama
117316,music
117722,"history , war , drama"
117845,
117847,drama
117865,thriller
118292,drama
118340,documentary
118448,fantasy
118692,action
118728,
118878,
119878,"drama , romance , tv movie , history"
120299,drama
120612,music
121581,drama
121590,
121867,music
122001,music
122482,horror
122557,"family , drama"
122571,"drama , tv movie"
122573,"tv movie , drama"
122589,"music , drama , romance"
122605,"music , romance"
122637,"comedy , western"
122675,"romance , drama"
122679,comedy
122687,"adventure , science fiction"
122711,drama
122811,drama
122825,music
122944,mystery
122988,comedy
123010,"comedy , drama"
123038,drama
123044,war
123052,drama
123061,action
123071,"war , romance"
123095,"western , action , horror"
123117,"comedy , drama"
123135,"romance , drama"
123139,drama
123250,drama
123254,"comedy , music , romance"
123274,"drama , tv movie"
123278,"tv movie , drama"
123290,drama
123333,"drama , history , romance"
123339,"history , drama"
123345,"action , science fiction"
123371,"drama , romance"
123397,"adventure , animation , comedy , family"
123415,documentary
123421,"comedy , drama"
123439,"drama , tv movie"
123441,"action , crime , drama"
123518,"romance , drama , war"
123526,"drama , crime"
123559,"action , adventure"
123602,"drama , tv movie"
123607,"drama , tv movie"
123609,"science fiction , drama"
123617,"war , drama , tv movie"
123619,"drama , tv movie"
123625,"drama , music"
123629,"drama , tv movie"
123693,adventure
123709,music
123715,"comedy , crime , family , tv movie , horror"
123721,"romance , comedy"
123729,"music , comedy"
123755,"romance , drama"
123775,comedy
123798,"western , tv movie"
123800,comedy
123808,"romance , drama"
123810,"drama , western , history"
123830,drama
123838,drama
123850,
123860,"adventure , drama , romance"
123866,"romance , drama"
123870,action
123874,drama
123902,comedy
123913,"comedy , drama"
123925,"drama , romance"
123935,"drama , history , tv movie"
123939,"comedy , documentary"
123975,"drama , romance"
123989,"comedy , drama"
123995,drama
123999,"drama , mystery , comedy"
124007,"comedy , family"
124017,"action , adventure , drama"
124039,"adventure , crime , science fiction"
124095,"romance , comedy"
124103,western
124149,"action , drama"
124182,"drama , war"
124200,"romance , comedy"
124215,"war , drama"
124226,comedy
124243,
124255,comedy
124269,"mystery , drama , crime"
124364,"war , drama"
124366,"romance , drama , comedy"
124386,"crime , romance"
124388,"romance , comedy , drama"
124392,"comedy , music"
124400,horror
124408,western
124422,drama
124430,comedy
124464,documentary
124480,drama
124486,"drama , romance"
124496,"crime , drama , mystery"
124525,comedy
124531,crime
124548,music
124629,"comedy , drama"
124631,documentary
124639,"drama , comedy"
124645,"thriller , horror"
124659,"romance , drama"
124667,"drama , romance"
124733,science fiction
124737,"comedy , romance"
124765,"adventure , science fiction , romance"
124775,"drama , action , war , history"
124795,"drama , history , romance , war"
124833,"drama , war"
124869,"comedy , animation"
124921,drama
124937,drama
124963,comedy
124975,"mystery , drama"
125029,comedy
125079,"animation , comedy , action"
125091,"comedy , romance"
125127,"drama , war , history"
125159,"family , comedy , adventure , tv movie"
125211,"war , drama , history"
125233,"thriller , tv movie"
125273,"history , action , drama"
125275,documentary
125279,"music , romance"
125305,action
125325,comedy
125377,"western , comedy"
125385,"drama , comedy"
125423,western
125427,drama
125461,"comedy , romance"
125467,horror
125531,"comedy , romance"
125535,"comedy , action , horror"
125551,"family , comedy"
125561,"crime , comedy"
125571,drama
125574,"adventure , comedy"
125587,"science fiction , romance , tv movie"
125593,documentary
125601,"war , comedy"
125603,drama
125605,"war , drama"
125609,drama
125611,drama
125615,"war , drama , history"
125617,"drama , romance"
125632,
125640,drama
125642,"comedy , animation"
125646,drama
125650,
125652,"drama , action"
125700,"action , comedy , crime"
125833,"drama , family , western"
125840,"action , western"
125860,drama
125864,drama
125872,comedy
125876,comedy
125878,"comedy , music , romance"
125890,"drama , thriller , war"
125908,documentary
125910,"drama , history , romance"
125928,animation
125930,"music , documentary"
125934,"animation , family"
125942,comedy
125948,"animation , comedy , family"
125956,comedy
125958,
125980,
125984,"crime , drama , tv movie"
125994,animation
126000,documentary
126010,music
126022,comedy
126024,comedy
126026,drama
126028,"animation , family"
126034,"horror , comedy , animation"
126042,
126052,animation
126060,"animation , fantasy , war"
126062,comedy
126064,"comedy , animation"
126068,"comedy , drama , family , romance"
126074,"animation , comedy , family , horror , music"
126076,"romance , comedy"
126078,"drama , thriller"
126080,animation
126098,
126130,comedy
126168,comedy
126172,comedy
126176,"comedy , tv movie"
126186,comedy
126194,fantasy
126202,drama
126206,
126221,drama
126239,"thriller , drama"
126243,comedy
126245,documentary
126286,"comedy , romance"
126331,"drama , science fiction , tv movie , thriller"
126333,"science fiction , action"
126339,"drama , thriller"
126560,"comedy , drama , romance"
126593,drama
126721,"action , tv movie , crime , drama"
126731,comedy
126739,"family , comedy , romance"
126741,comedy
126759,drama
126789,drama
126793,"drama , comedy"
126795,drama
126797,
126917,documentary
126945,documentary
126949,"comedy , thriller"
126955,"drama , music"
126963,"documentary , drama"
126967,documentary
126973,documentary
126975,"drama , comedy"
126979,documentary
126985,"drama , crime"
126989,drama
126993,drama
126995,drama
126999,
127003,documentary
127005,documentary
127007,"comedy , drama"
127957,drama
127991,"comedy , drama"
128015,drama
128027,music
128047,drama
128069,western
128077,western
128079,western
128115,western
128131,"drama , thriller"
128193,drama
128219,drama
128237,drama
128243,drama
128253,"thriller , horror"
128295,history
128356,"crime , thriller , mystery , drama"
128373,western
128383,crime
128393,"crime , action"
128395,"crime , action"
128401,"crime , action"
128421,action
128431,drama
128433,thriller
128480,documentary
128492,adventure
128498,"thriller , mystery"
128500,"action , adventure"
128504,"thriller , crime"
128514,
128516,drama
128544,"drama , comedy"
128570,"romance , drama"
128590,family
128610,drama
128616,drama
128624,drama
128644,"war , comedy , family"
128667,"tv movie , crime"
128673,comedy
128686,"adventure , family"
128705,adventure
128727,"drama , romance"
128752,"drama , war"
128754,"drama , comedy"
128766,"thriller , history"
128780,"crime , drama"
128794,drama
128796,"drama , comedy"
128800,drama
128810,comedy
128816,"crime , thriller"
128818,comedy
128820,drama
128916,drama
129052,"drama , action , crime"
129056,comedy
129076,"comedy , drama , romance"
129078,romance
129185,"crime , drama"
129187,drama
129189,"comedy , documentary"
129193,drama
129211,thriller
129225,"drama , mystery"
129250,"comedy , action"
129524,drama
129530,documentary
129536,"thriller , action"
129651,documentary
129661,"mystery , drama , horror"
129663,comedy
129667,"music , documentary"
129677,"science fiction , action"
129683,crime
129689,thriller
129705,"comedy , documentary , drama"
129723,comedy
129733,"drama , music"
129755,"crime , drama"
129759,drama
129765,"action , crime"
129769,"crime , action"
129802,"drama , history"
129838,"tv movie , drama"
129847,drama
129849,
129851,documentary
129865,"crime , action"
129869,"mystery , thriller"
129871,drama
129875,"action , crime , drama"
129877,"horror , thriller"
129879,"crime , thriller"
129881,
129885,drama
129887,
129895,"thriller , horror"
129915,drama
129917,drama
129919,"fantasy , drama , horror"
129925,"comedy , drama"
129929,drama
129931,documentary
129943,"drama , romance"
129980,"adventure , action"
129986,"action , adventure , comedy , science fiction"
129996,"drama , crime"
130060,"drama , tv movie"
130089,"drama , romance"
130093,"comedy , romance"
130099,documentary
130144,comedy
130165,"comedy , music"
130178,mystery
130204,drama
130231,crime
130235,"drama , romance"
130237,"thriller , action"
130239,"drama , war"
130252,"mystery , comedy , crime"
130259,comedy
